City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
205,luderitz,25,NA,1616122215,66,-26.6481,15.1594,17.13,5.6
206,novo horizonte,86,BR,1616122630,85,-21.4681,-49.2208,20.97,2.99
207,pangnirtung,0,CA,1616122390,77,66.1451,-65.7125,-27.62,1.28
208,presidente medici,100,BR,1616122460,97,-11.1753,-61.9014,21.95,0.51
209,bundu,98,IN,1616122632,53,23.1833,85.5833,22.0,0.41
210,temirtau,0,KZ,1616122632,62,50.0544,72.9483,-8.0,8.0
211,mogadishu,85,SO,1616122484,83,2.0371,45.3438,25.95,5.12
212,livenka,93,RU,1616122819,90,50.4491,38.2959,-1.94,2.75
213,neyshabur,92,IR,1616122820,45,36.2133,58.7958,15.15,1.67
214,dingle,62,PH,1616122174,66,10.9995,122.6711,30.26,3.84
215,birao,80,CF,1616122820,56,10.2849,22.7882,24.36,2.02
216,ceres,90,US,1616122820,94,37.5949,-120.9577,14.0,2.06
217,hambantota,20,LK,1616122395,100,6.1241,81.1185,25.0,2.06
218,cockburn town,11,TC,1616122401,75,21.4612,-71.1419,24.11,7.93
219,pampas,100,PE,1616122821,92,-12.4,-74.9,8.94,3.0
220,kalininsk,100,RU,1616122821,95,51.5,44.4758,-5.57,3.08
221,alausi,100,EC,1616122821,93,-2.2,-78.8333,8.95,0.96
222,gat,15,IL,1616122446,100,31.61,34.7642,11.67,1.34
223,tres arroyos,3,AR,1616122822,75,-38.3739,-60.2798,9.26,2.99
224,geraldton,0,AU,1616122682,10,-28.7667,114.6,36.0,8.75
225,achikulak,4,RU,1616122822,91,44.5517,44.8378,2.81,3.32
226,chicama,100,PE,1616122822,68,-7.8447,-79.1469,23.35,2.36
227,takoradi,98,GH,1616122333,84,4.8845,-1.7554,25.18,2.5
228,san carlos de bariloche,0,AR,1616122483,76,-41.1456,-71.3082,10.0,2.57
229,goderich,100,CA,1616122424,43,43.7501,-81.7165,-1.0,7.72
230,pudozh,100,RU,1616122823,93,61.8099,36.5345,-9.73,3.87
231,vawkavysk,44,BY,1616122823,83,53.1561,24.4513,-2.7,2.18
232,sadon,49,RU,1616122824,100,42.8518,44.0037,-1.0,3.0
233,nizwa,0,OM,1616122824,24,22.9333,57.5333,23.0,0.39
234,matara,100,LK,1616122804,73,5.9485,80.5353,27.53,0.8
235,bolzano,100,IT,1616122824,38,46.4927,11.3336,-1.67,1.28
236,donskoye,0,RU,1616122824,81,45.4552,41.9741,3.0,7.0
237,george,90,ZA,1616122825,100,-33.963,22.4617,17.0,3.6
238,rocha,60,UY,1616122446,77,-34.4833,-54.3333,12.81,1.8
239,iqaluit,1,CA,1616122457,69,63.7506,-68.5145,-28.89,4.12
240,teya,99,RU,1616122825,90,60.3778,92.6267,-7.72,3.17
241,carsamba,75,TR,1616122826,87,41.1989,36.7219,9.44,2.06
242,mizan teferi,28,ET,1616122826,93,6.9833,35.5833,16.05,1.26
243,saint anthony,1,US,1616122374,41,45.0205,-93.218,6.0,1.54
244,allapalli,15,IN,1616122826,40,19.4167,80.0667,28.93,2.66
245,namibe,57,AO,1616122385,75,-15.1961,12.1522,22.4,2.01
246,acari,100,PE,1616122827,82,-15.4311,-74.6158,22.57,1.21
247,immokalee,40,US,1616122827,83,26.4187,-81.4173,22.78,1.54
248,kamenka,99,RU,1616122485,89,51.3223,42.7678,-1.67,2.83
249,puerto colombia,0,CO,1616122827,78,10.9878,-74.9547,26.0,6.17
250,hamilton,90,US,1616122208,81,39.1834,-84.5333,5.56,11.32
251,gambela,100,ET,1616122434,62,8.25,34.5833,25.77,3.76
252,bouna,97,CI,1616122828,71,9.2667,-3.0,25.56,2.93
253,robertsport,97,LR,1616122475,85,6.7533,-11.3686,26.14,2.82
254,jaleswar,53,NP,1616122828,22,26.6471,85.8008,26.42,1.31
255,sakakah,0,SA,1616122502,38,29.9697,40.2064,14.0,2.68
256,bela,99,IN,1616122501,20,25.9333,81.9833,30.64,2.22
257,acarau,96,BR,1616122829,86,-2.8856,-40.12,25.08,2.5
258,thompson,20,CA,1616122829,48,55.7435,-97.8558,5.0,3.6
259,manacapuru,0,BR,1616122829,94,-3.2997,-60.6206,24.0,2.48
260,campana,0,AR,1616122830,82,-34.1687,-58.9591,16.11,1.05
261,mushie,100,CD,1616122830,96,-3.0167,16.9,22.32,0.9
262,karaidel,100,RU,1616122831,96,55.8337,56.9069,-4.7,2.11
263,nara,0,JP,1616122826,39,34.6851,135.8049,20.0,2.06
264,aasiaat,100,GL,1616122832,87,68.7098,-52.8699,-16.02,4.64
265,sokolo,3,ML,1616122833,10,14.7328,-6.1219,23.74,4.65
266,yar-sale,99,RU,1616122389,97,66.8333,70.8333,-21.44,4.28
267,ibra,0,OM,1616122833,31,22.6906,58.5334,22.19,0.26
268,krasnoselkup,100,RU,1616122435,95,65.7,82.4667,-13.95,4.69
269,decatur,75,US,1616122834,75,39.8403,-88.9548,5.0,10.8
270,hagere selam,55,ET,1616122835,94,6.4833,38.5167,8.78,1.92
271,akyab,62,MM,1616122835,35,20.15,92.9,26.11,1.6
272,jalu,49,LY,1616122468,34,29.0331,21.5482,15.44,4.9
273,konza,96,KE,1616122835,94,-1.7426,37.1294,15.29,1.82
274,mbamba,3,NG,1616122835,18,9.9833,13.1,24.61,0.7
275,la tuque,2,CA,1616122836,48,47.4334,-72.7824,-9.0,5.66
276,maturin,71,VE,1616122836,85,9.75,-63.1767,21.99,3.18
277,urumqi,0,CN,1616122836,63,43.801,87.6005,-3.0,2.0
278,butiama,20,TZ,1616122836,88,-1.7667,33.9667,22.0,1.1
279,bardiyah,0,LY,1616122837,70,31.7561,25.0865,12.68,4.67
280,humaita,99,BR,1616122837,98,-7.5061,-63.0208,22.66,1.38
281,itamaraca,40,BR,1616122837,73,-7.7478,-34.8256,26.0,2.06
282,vanersborg,90,SE,1616122837,86,58.3807,12.3234,-1.0,5.14
283,inndyr,75,NO,1616122837,46,67.0338,14.0276,-2.0,8.75
284,timizart,100,DZ,1616122838,90,36.8,4.2667,8.19,3.34
285,chacabuco,91,AR,1616122839,65,-34.6417,-60.4739,13.89,0.89
286,visby,20,SE,1616122839,54,57.6409,18.296,-2.0,6.17
287,guia lopes da laguna,100,BR,1616122839,93,-21.4578,-56.1142,22.39,1.59
288,castrillon,90,ES,1616122839,76,43.3979,-6.7922,8.0,2.57
289,seidu,1,SL,1616122840,76,9.0167,-10.6,20.69,1.56
290,gidam,64,IN,1616122840,27,18.9833,81.4,30.69,1.06
291,adrar,0,MR,1616122443,13,20.5022,-10.0711,19.52,1.55
292,ilave,92,PE,1616122842,88,-16.0833,-69.6667,5.7,4.59
293,morondava,63,MG,1616122465,85,-20.2833,44.2833,25.45,2.25
294,jutai,100,BR,1616122843,97,-5.1833,-68.9,23.19,1.36
295,dalen,0,NL,1616122843,95,52.6992,6.7556,0.0,1.79
296,summerville,40,US,1616122843,100,33.0185,-80.1757,19.44,2.06
297,adygeysk,20,RU,1616122843,87,44.88,39.19,5.56,4.0
298,verkhnyaya toyma,27,RU,1616122844,95,62.2349,44.9985,-14.6,2.27
299,tucuman,90,AR,1616122844,94,-26.8241,-65.2226,16.0,2.57
300,ginir,100,ET,1616122459,86,7.1333,40.7,15.34,0.97
301,kitob,100,UZ,1616122844,26,39.0843,66.8332,15.0,5.14
302,amalapuram,20,IN,1616122845,83,16.5833,82.0167,25.0,0.45
303,tessalit,3,ML,1616122464,19,20.1986,1.0114,18.61,2.98
304,ambilobe,86,MG,1616122426,93,-13.2,49.05,22.63,0.85
305,santa cruz del norte,5,CU,1616122845,83,23.1539,-81.9236,24.0,3.6
306,zhanaozen,0,KZ,1616122845,85,43.3,52.8,3.02,7.38
307,gilgit,44,PK,1616122846,57,35.9221,74.3087,6.36,1.83
308,siniscola,40,IT,1616122406,87,40.5719,9.6922,6.0,1.03
309,opuwo,100,NA,1616122205,80,-18.0607,13.84,20.36,1.3
310,vikesa,0,NO,1616122847,93,58.6376,6.0913,1.0,1.03
311,gogrial,97,SS,1616122847,66,8.5332,28.1004,24.61,1.65
312,akdepe,100,TM,1616122847,76,42.0551,59.3788,9.0,3.09
313,koszalin,100,PL,1616122848,100,54.1944,16.1722,1.11,5.1
314,karpogory,76,RU,1616122848,96,64.0019,44.4451,-19.27,2.69
315,ust-tsilma,100,RU,1616122848,94,65.441,52.1498,-15.11,3.52
316,conceicao do araguaia,100,BR,1616122848,89,-8.2578,-49.2647,23.82,0.89
317,marystown,100,CA,1616122849,93,47.1666,-55.1483,3.31,11.86
318,ikungi,87,TZ,1616122849,92,-5.1333,34.7667,15.46,3.55
319,cabedelo,0,BR,1616122849,94,-6.9811,-34.8339,25.0,2.06
320,gazalkent,0,UZ,1616122850,28,41.5581,69.7708,12.0,5.14
321,cap malheureux,3,MU,1616122407,78,-19.9842,57.6142,24.44,1.34
322,rio alejandro,69,PA,1616122850,85,9.3764,-79.7911,26.67,17.88
323,camacari,20,BR,1616122851,74,-12.6975,-38.3242,27.0,4.12
324,comodoro rivadavia,0,AR,1616122399,55,-45.8667,-67.5,17.0,3.09
325,adeje,20,ES,1616122851,67,28.1227,-16.726,17.22,2.57
326,vysotskoye,0,RU,1616122851,81,45.025,42.9064,3.0,7.0
327,alappuzha,98,IN,1616122852,75,9.49,76.3264,27.75,2.52
328,barsovo,0,RU,1616122852,51,61.1667,73.1667,-1.0,5.0
329,ponta delgada,75,PT,1616122853,77,37.7333,-25.6667,15.0,4.12
330,jiwani,0,PK,1616122853,70,25.05,61.7417,24.26,1.76
331,santo antonio do sudoeste,17,BR,1616122853,91,-26.0736,-53.7253,17.62,2.18
332,luanda,100,AO,1616122785,85,-8.8368,13.2343,25.66,3.54
333,tiznit,97,MA,1616122381,75,29.5833,-9.5,11.73,3.69
334,curico,67,CL,1616122854,59,-34.9833,-71.2333,16.0,1.54
335,daoukro,100,CI,1616122854,91,7.0591,-3.9631,22.6,1.29
336,bodden town,0,KY,1616122854,78,19.2833,-81.25,26.11,2.57
337,naryan-mar,40,RU,1616122483,97,67.6713,53.087,-25.63,4.07
338,sao goncalo,0,BR,1616122855,78,-22.8156,-43.0411,28.0,3.6
339,kurtamysh,100,RU,1616122855,92,54.9103,64.4319,-5.46,5.42
340,falkensee,46,DE,1616122855,80,52.5667,13.0833,2.22,2.64
341,presidencia roque saenz pena,29,AR,1616122855,74,-26.7852,-60.4388,20.56,1.79
342,thunder bay,1,CA,1616122855,69,48.4001,-89.3168,-2.0,1.55
343,stokmarknes,100,NO,1616122856,53,68.5646,14.9108,-1.11,4.47
344,san juan,100,AR,1616122462,66,-31.5375,-68.5364,16.72,3.93
345,hare bay,100,CA,1616122856,86,48.8499,-54.0148,1.0,4.12
346,ugoofaaru,68,MV,1616122856,67,5.6667,73.0,28.36,2.94
347,lapua,0,FI,1616122857,73,62.9693,23.0088,-10.56,0.45
348,chirongui,0,YT,1616122858,89,-12.9319,45.1483,26.0,0.51
349,lucea,40,JM,1616122858,78,18.451,-78.1736,26.0,4.63
350,the valley,20,AI,1616122396,69,18.217,-63.0578,25.0,5.66
351,asyut,0,EG,1616122377,62,27.181,31.1837,12.0,2.57
352,sompeta,100,IN,1616122858,33,18.9333,84.6,29.62,1.04
353,abu samrah,0,SY,1616122456,89,35.3029,37.1841,8.33,4.57
354,tokmak,100,UA,1616122859,88,47.2514,35.7058,5.0,5.37
355,mahibadhoo,12,MV,1616122859,69,3.7833,72.9667,28.11,1.87
356,roald,90,NO,1616122859,93,62.5833,6.1333,4.0,2.06
357,slavgorodskoye,55,RU,1616122860,88,53.0214,78.6435,-10.31,4.84
358,meshchovsk,43,RU,1616122860,96,54.3244,35.2808,-6.15,2.87
359,goundam,59,ML,1616122487,10,16.4145,-3.6708,23.59,4.43
360,belmonte,20,BR,1616122861,94,-15.8631,-38.8828,23.0,1.03
361,qasigiannguit,44,GL,1616122861,66,68.8193,-51.1922,-14.0,3.09
362,dehloran,34,IR,1616122861,35,32.6941,47.2679,16.76,2.46
